time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-27 00:00:00+00:00,13,6,0,0
2026-02-28 00:00:00+00:00,15,8,0,0
2026-03-01 00:00:00+00:00,6,3,6,1
2026-03-02 00:00:00+00:00,26,15,0,0
2026-03-03 00:00:00+00:00,8,5,0,0
2026-03-04 00:00:00+00:00,12,5,0,0
2026-03-05 00:00:00+00:00,15,8,0,0
2026-03-06 00:00:00+00:00,7,4,1,1
2026-03-07 00:00:00+00:00,11,4,0,0
2026-03-08 00:00:00+00:00,17,6,0,0
2026-03-09 00:00:00+00:00,5,2,3,1
2026-03-10 00:00:00+00:00,3,3,1,1
2026-03-11 00:00:00+00:00,17,7,0,0
2026-03-12 00:00:00+00:00,12,5,0,0
