time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-09 00:00:00+00:00,8,5,1,1
2026-02-10 00:00:00+00:00,13,6,1,1
2026-02-11 00:00:00+00:00,10,3,2,2
2026-02-12 00:00:00+00:00,12,5,0,0
2026-02-13 00:00:00+00:00,16,8,0,0
2026-02-14 00:00:00+00:00,11,4,0,0
2026-02-15 00:00:00+00:00,11,4,0,0
2026-02-16 00:00:00+00:00,6,3,0,0
2026-02-17 00:00:00+00:00,19,8,0,0
2026-02-18 00:00:00+00:00,6,3,3,2
2026-02-19 00:00:00+00:00,18,7,0,0
2026-02-20 00:00:00+00:00,21,9,10,1
2026-02-21 00:00:00+00:00,18,7,0,0
2026-02-22 00:00:00+00:00,14,6,0,0
