url_path,views_total,views_unique
/norwegian-geotechnical-institute/geoinquire-va2-34-2,10,7
/norwegian-geotechnical-institute/geoinquire-va2-34-2/commits,2,1
/norwegian-geotechnical-institute/geoinquire-va2-34-2/releases/tag/v1.0.0,2,1
/norwegian-geotechnical-institute/geoinquire-va2-34-2/tree/main/Tool-HazardMap,2,1
/norwegian-geotechnical-institute/geoinquire-va2-34-2/blob/main/Geo-INQUIRE_logo_small.png,1,1
/norwegian-geotechnical-institute/geoinquire-va2-34-2/forks,1,1
/norwegian-geotechnical-institute/geoinquire-va2-34-2/tree/main,1,1
/norwegian-geotechnical-institute/geoinquire-va2-34-2/tree/main/Tool-HazardMap/Code,1,1
/norwegian-geotechnical-institute/geoinquire-va2-34-2/tree/main/Tool-HazardMap/Data,1,1
